Product Name,SKU,Barcode,Cost Price,Selling Price,Brand,Part No,Source Row
S/A BJ 3WH RR SPIN (METAL),S265100406,S265100406,60.61,86.00,ENDURANCE,S265100406,119
WHEEL CYL ASSY BJ 3WHEEL RR (24151164),2871400201,2871400201,33.64,49.00,ENDURANCE,2871400201,120
DURO VALVE WITH SEAL AUTO4 BSVI 36RA03,DURO-AUTO4-RA003S,DURO-AUTO4-RA003S,32.46,46.50,VARROC,DURO-AUTO4-RA003S,121
CDI-PETROL FL 2021 (AA111222),AA111222,AA111222,51.26,74.00,SWISS-M0569C,AA111222,122
REGULATOR (AF201036),AF201036,AF201036,76.04,109.00,SWISS-M0782A,AF201036,123
SWITCH IGNITION WITH KEY (36AA4028),36AA4028,36AA4028,39.64,57.00,SWISS-M0431E,36AA4028,124
BOX ASSLY WITH FUSE RE4S (AA201185),AA201185,AA201185,26.94,38.50,SWISS-M0030AL,AA201185,125
INNER TUBE 400*8,,,19.36,27.80,,,126
WHEEL CAP 3WH,,,25.25,36.00,,,127
VALVE SEAL (39103519),VLSL-AUTO4-3919,VLSL-AUTO4-3919,5.05,7.50,VARROC,VLSL-AUTO4-3919,128
"CYL BLOCK ASSLY-LPG,PET 4S BSIV (36AA4105)",CKIT-COMP-3605,CKIT-COMP-3605,279.65,400.00,VARROC,CKIT-COMP-3605,129
AXLE REAR AUTO24 N M FROM FEB 08 (24171118),AXLE-AUTO-2418R,AXLE-AUTO-2418R,45.26,65.00,VARROC,AXLE-AUTO-2418R,130
AXLE FRONT COMPAQ 24 (24151266),AXLE-COMP-2466,AXLE-COMP-2466,30.12,43.00,VARROC,AXLE-COMP-2466,131
PROPELLER SHAFT AUTO2 COMPAQ WITH PIN(24101829),FORG-AUTO2P-2429,FORG-AUTO2P-2429,24.62,36.00,VARROC,FORG-AUTO2P-2429,132
TRAILING ARM COMPAQ LEFT (24171179),SUSP-AUTO24-2479,SUSP-AUTO24-2479,159.16,227.00,VARROC,SUSP-AUTO24-2479,133
TRAILING ARM COMPAQ RIGHT (24171180),SUSP-AUTO24-2480,SUSP-AUTO24-2480,159.16,227.00,VARROC,SUSP-AUTO24-2480,134
BEARING S L3520 COMP RRE 205 AAPE (59200012),BKIT-AUTO-S3520,BKIT-AUTO-S3520,6.35,9.50,VARROC,BKIT-AUTO-S3520,135
FUSE BOX ASSY AUTO COMPAQ PETROL 205 (AA201185),FUSE-AUTO-AA85,FUSE-AUTO-AA85,24.46,35.00,VARROC,FUSE-AUTO-AA85,136
PLUG CAP RRE COMPAQ BS4 RH WHITE LONG (AF111031),PCAP-AUTO4-AF32,PCAP-AUTO4-AF32,6.80,10.00,VARROC,PCAP-AUTO4-AF32,137
PLUG CAP RRE COMPAQ BS4 LH WHITE SMALL (AA111032),PCAP-AUTO4-AF31,PCAP-AUTO4-AF31,6.04,9.00,VARROC,PCAP-AUTO4-AF31,138
R R AUTO4 176 205 (AF201036),REGR-AUTO4-AF36,REGR-AUTO4-AF36,98.31,140.00,VARROC,REGR-AUTO4-AF36,139
BELLOW AUTO H DUTY W O COLLAR PS 2476 (24171076),RUBB-AUTO-HD76,RUBB-AUTO-HD76,6.04,9.00,VARROC,RUBB-AUTO-HD76,140
RVM AUTO RE DIESEL BS6 LH (AA221042),REVM-AUTO4-AA42,REVM-AUTO4-AA42,29.20,42.40,VARROC,REVM-AUTO4-AA42,141
RVM AUTO RE DIESEL BS6 RH (AA221043),REVM-AUTO4-AA43,REVM-AUTO4-AA43,29.20,42.40,VARROC,REVM-AUTO4-AA43,142
FLANGE V SERIES MEDIUM FACE LIFT COMP(AY141202),FLNG-AUTO24-WD21,FLNG-AUTO24-WD21,31.34,45.60,VARROC,FLNG-AUTO24-WD21,143
FLANGE V SERIES BIG FACE LIFT COMP (36AA4114),FLNG-AUTO24-WD22,FLNG-AUTO24-WD22,31.34,45.60,VARROC,FLNG-AUTO24-WD22,144
FLANGE V SERIES SMALL AY TYP KING COMP (36AA4115),FLNG-AUTO24-WD02,FLNG-AUTO24-WD02,28.13,40.00,VARROC,FLNG-AUTO24-WD02,145
ROTOR ASSY AUTO4 COMPAQ MAZIMA Z BSIV,MGRT-AUTO4-AA02,MGRT-AUTO4-AA02,111.92,161.00,VARROC,MGRT-AUTO4-AA02,146
COMBINATION SWITCH (RH),,,19.88,28.50,SWISS-M0569C,,147
MRF TYRE 400*8,,,179.96,243.00,MRF,,148
